Month,price
10-Dec,167.13
11-Jan,178.81
11-Feb,213.64
11-Mar,227.65
11-Apr,212.16
11-May,163.87
11-Jun,142.63
11-Jul,119.48
11-Aug,114.1
11-Sep,123.14
11-Oct,120.15
11-Nov,117.1
11-Dec,110.55
12-Jan,114.24
12-Feb,109.14
12-Mar,110.21
12-Apr,113.97
12-May,105.96
12-Jun,101.41
12-Jul,102.72
12-Aug,103.34
12-Sep,101.48
12-Oct,95.85
12-Nov,97.4
12-Dec,100.49
13-Jan,102.65
13-Feb,106.41
13-Mar,113.13
13-Apr,110.38
13-May,112.27
13-Jun,119.57
13-Jul,121.95
13-Aug,128.95
13-Sep,126.74
13-Oct,121.41
13-Nov,117.27
13-Dec,119.56
14-Jan,124.89
14-Feb,128.93
14-Mar,130.47
14-Apr,125.54
14-May,121.06
14-Jun,119.43
14-Jul,111.12
14-Aug,99.26
14-Sep,98.63
14-Oct,95.09
14-Nov,91.9
14-Dec,94.69
15-Jan,91.96
15-Feb,95.52
15-Mar,95.55
15-Apr,99.19
15-May,102.73
15-Jun,102.18
15-Jul,101.83
15-Aug,102.81
15-Sep,100.65
15-Oct,98.91
15-Nov,101.06
15-Dec,103.22
16-Jan,102.29
16-Feb,100.32
16-Mar,96.56
16-Apr,101.7
16-May,103.67
16-Jun,109.67
16-Jul,120.32
16-Aug,118.48
16-Sep,114.8
16-Oct,115.49
16-Nov,117.5
16-Dec,118.82
17-Jan,123.96
17-Feb,126.15
17-Mar,125.9
17-Apr,123.87
17-May,125.62
17-Jun,120.5
17-Jul,119.21
17-Aug,111.94
17-Sep,114.74
17-Oct,112.6
17-Nov,114.82
17-Dec,120.78
18-Jan,127.93
18-Feb,125.53
18-Mar,131.97
18-Apr,133.3
18-May,140.49
18-Jun,145.76
18-Jul,145.65
18-Aug,144.63
18-Sep,143.88
18-Oct,140.61
18-Nov,137.18
18-Dec,134.58
19-Jan,128.77
19-Feb,127.46
19-Mar,128.54
19-Apr,133.3
19-May,123.53
19-Jun,118.74
19-Jul,114.91
19-Aug,110.99
19-Sep,111.99
19-Oct,115.81
19-Nov,117.86
19-Dec,118.88
20-Jan,124.11
20-Feb,120.75
20-Mar,110.73
20-Apr,106.66
20-May,109.71
20-Jun,112.81
20-Jul,113.28
20-Aug,114.99
20-Sep,114.66
20-Oct,121.23
20-Nov,127
20-Dec,131.85
21-Jan,140.37